n-gram,count
"('like',)",105
"('human',)",103
"('ai',)",92
"('sounds',)",65
"('written',)",39
"('sentence',)",32
"('use',)",31
"('generated',)",30
"('sentences',)",28
"('language',)",24
"('words',)",24
"('feels',)",22
"('word',)",21
"('english',)",21
"('think',)",20
"('structure',)",20
"('llm',)",19
"('way',)",19
"('uses',)",19
"('delve',)",16
"('makes',)",15
"('llms',)",15
"('flow',)",14
"('writing',)",14
"('second',)",14
"('sound',)",14
"('write',)",13
"('personal',)",12
"('reads',)",12
"('feel',)",12
"('likely',)",11
"('piece',)",11
"('natural',)",11
"('person',)",10
"('believe',)",9
"('short',)",9
"('read',)",9
"('essay',)",9
"('punctuation',)",8
"('facts',)",8
"('point',)",8
"('opinion',)",8
"('writer',)",8
"('tone',)",8
"('phrases',)",8
"('common',)",8
"('sense',)",8
"('hard',)",7
"('grammar',)",7
"('difficult',)",7
"('adjectives',)",7
"('slightly',)",7
"('information',)",7
"('chose',)",7
"('unnecessary',)",7
"('context',)",7
"('know',)",7
"('lists',)",7
"('usually',)",7
"('trying',)",7
"('generic',)",7
"('bit',)",6
"('errors',)",6
"('author',)",6
"('work',)",6
"('texts',)",6
"('style',)",6
"('option',)",6
"('expect',)",6
"('chosen',)",6
"('overly',)",6
"('contains',)",6
"('paragraph',)",6
"('learning',)",6
"('need',)",6
"('grammatical',)",6
"('lack',)",6
"('let',)",6
"('good',)",5
"('quote',)",5
"('matter',)",5
"('non',)",5
"('argument',)",5
"('typical',)",5
"('understand',)",5
"('clear',)",5
"('spelling',)",5
"('play',)",5
"('question',)",5
"('definitely',)",5
"('output',)",5
"('thought',)",5
"('professional',)",5
"('flows',)",5
"('saying',)",5
"('academic',)",5
"('long',)",5
"('list',)",5
"('probably',)",5
"('mistakes',)",5
"('feeling',)",5
"('explain',)",5
"('gai',)",5
"('strange',)",5
"('gut',)",5
"('skills',)",4
"('error',)",4
"('day',)",4
"('friend',)",4
"('typically',)",4
"('body',)",4
"('arguments',)",4
"('seen',)",4
"('child',)",4
"('particularly',)",4
"('points',)",4
"('order',)",4
"('little',)",4
"('reader',)",4
"('data',)",4
"('appears',)",4
"('role',)",4
"('people',)",4
"('told',)",4
"('poorly',)",4
"('poor',)",4
"('story',)",4
"('conversation',)",4
"('sources',)",4
"('states',)",4
"('certain',)",4
"('idea',)",4
"('american',)",4
"('instead',)",4
"('humans',)",4
"('clunky',)",4
"('e.g.',)",4
"('game',)",4
"('heard',)",4
"('robotic',)",4
"('lacking',)",4
"('conveyed',)",4
"('things',)",4
"('structured',)",4
"('student',)",4
"('commas',)",4
"('bullet',)",4
"('lot',)",4
"('asked',)",4
"('mistake',)",4
"('machine',)",4
"('easier',)",4
"('unnecessarily',)",4
"('introduction',)",4
"('overall',)",3
"('level',)",3
"('start',)",3
"('article',)",3
"('suspicious',)",3
"('maybe',)",3
"('usage',)",3
"('concept',)",3
"('generally',)",3
"('vocabulary',)",3
"('decentralisation',)",3
"('summary',)",3
"('issue',)",3
"('description',)",3
"('unusual',)",3
"('suggests',)",3
"('tends',)",3
"('high',)",3
"('taken',)",3
"('produce',)",3
"('especially',)",3
"('case',)",3
"('speech',)",3
"('come',)",3
"('conclusions',)",3
"('phrase',)",3
"('necessarily',)",3
"('prompted',)",3
"('prompt',)",3
"('perfect',)",3
"('explanation',)",3
"('specifically',)",3
"('instructed',)",3
"('formatting',)",3
"('dry',)",3
"('smooth',)",3
"('logical',)",3
"('naturally',)",3
"('telling',)",3
"('real',)",3
"('correct',)",3
"('colloquial',)",3
"('clumsy',)",3
"('fluent',)",3
"('talks',)",3
"('positive',)",3
"('cold',)",3
"('emotion',)",3
"('script',)",3
"('wording',)",3
"('issues',)",3
"('poems',)",3
"('speaker',)",3
"('trained',)",3
"('said',)",3
"('starts',)",3
"('state',)",3
"('previous',)",3
"('1st',)",3
"('somewhat',)",3
"('themself',)",3
"('try',)",3
